Season,Date,WL,Opp,ScoreTm,ScoreOpp,Offense1stD,OffenseTotYd,OffensePassY,OffenseRushY,OffenseTO,Defense1stD,DefenseTotYd,DefensePassY,DefenseRushY,DefenseTO,Expected PointsOffense,Expected PointsDefense,Expected PointsSp. Tms
2012,9-Sep,W,Tennessee Titans,34,13,25,390,228,162,,16,284,264,20,2,16.22,5.11,-1.32
2012,16-Sep,L,Arizona Cardinals,18,20,25,387,297,90,1,16,242,140,102,2,-2.82,9.41,-11.04
2012,23-Sep,L,Baltimore Ravens,30,31,33,396,319,77,,28,503,382,121,1,17.99,-21.23,-0.02
2012,30-Sep,W,Buffalo Bills,52,28,33,580,333,247,2,19,438,340,98,6,25.9,3.86,-6.88
2012,7-Oct,W,Denver Broncos,31,21,35,444,193,251,1,22,394,324,70,3,13.99,-6.34,0.99
2012,14-Oct,L,Seattle Seahawks,23,24,26,475,388,87,2,17,368,283,85,2,7.79,-4.31,-1.97
2012,21-Oct,W,New York Jets,29,26,26,381,250,131,1,26,403,297,106,2,8,-4.9,6.07
2012,28-Oct,W,St. Louis Rams,45,7,29,473,321,152,,17,326,219,107,2,32.61,8.19,-3.51
2012,11-Nov,W,Buffalo Bills,37,31,27,347,230,117,,35,481,319,162,3,21.52,-17.96,1.82
2012,18-Nov,W,Indianapolis Colts,59,24,25,446,331,115,,28,448,329,119,4,26.83,1.95,7.74
2012,22-Nov,W,New York Jets,49,19,25,475,323,152,1,25,405,286,119,5,24.05,4.42,0.74
2012,2-Dec,W,Miami Dolphins,23,16,25,321,213,108,1,15,277,176,101,1,0.35,6.58,1.26
2012,10-Dec,W,Houston Texans,42,14,27,419,289,130,1,19,323,223,100,1,20.98,6.13,-0.88
2012,16-Dec,L,San Francisco 49ers,34,41,32,520,425,95,4,19,388,208,180,2,-1.63,-1.99,-5.22
2012,23-Dec,W,Jacksonville Jaguars,23,16,23,349,246,103,2,22,436,343,93,3,3.54,1.22,-0.4
2012,30-Dec,W,Miami Dolphins,28,0,28,443,276,167,,16,256,209,47,2,17.21,11.12,-1.74
2012,13-Jan,W,Houston Texans,41,28,24,457,335,122,,25,425,334,91,1,20.49,-9.61,-0.69
2012,20-Jan,L,Baltimore Ravens,13,28,28,428,320,108,3,25,356,235,121,,0.89,-12.89,-1.67
2013,8-Sep,W,Buffalo Bills,23,21,26,431,273,158,3,15,286,150,136,2,-8.67,8.3,0.96
2013,12-Sep,W,New York Jets,13,10,9,232,178,54,,15,318,189,129,4,-16.53,20.4,2.25
2013,22-Sep,W,Tampa Bay Buccaneers,23,3,21,358,202,156,1,18,323,226,97,1,4.05,11.23,2.25
2013,29-Sep,W,Atlanta Falcons,30,23,21,448,316,132,,26,457,399,58,1,15.86,-10.26,-0.71
2013,6-Oct,L,Cincinnati Bengals,6,13,15,248,166,82,2,21,341,179,162,2,-11.63,5.28,0.4
2013,13-Oct,W,New Orleans Saints,30,27,26,376,235,141,1,20,361,230,131,2,-1.19,-4.55,3.36
2013,20-Oct,L,New York Jets,27,30,21,295,205,90,1,27,383,206,177,1,-7.1,4.71,-0.42
2013,27-Oct,W,Miami Dolphins,27,17,19,252,100,152,1,23,301,145,156,3,0.94,1.22,7.15
2013,3-Nov,W,Pittsburgh Steelers,55,31,33,610,413,197,1,24,479,371,108,3,33.33,-3.89,-4.45
2013,18-Nov,L,Carolina Panthers,20,24,28,390,283,107,2,20,300,197,103,,13.91,-17.75,0.63
2013,24-Nov,W,Denver Broncos,34,31,27,440,324,116,3,28,412,132,280,4,-7.4,-0.53,12.8
2013,1-Dec,W,Houston Texans,34,31,28,453,365,88,1,19,385,264,121,1,17.29,-11.24,-1.17
2013,8-Dec,W,Cleveland Browns,27,26,30,484,397,87,2,24,494,386,108,,12.46,-16.98,5.85
2013,15-Dec,L,Miami Dolphins,20,24,29,453,357,96,1,20,378,289,89,1,15.26,-11.98,-5.68
2013,22-Dec,W,Baltimore Ravens,41,7,21,300,158,142,,19,358,237,121,4,5.89,24.64,2.98
2013,29-Dec,W,Buffalo Bills,34,20,24,382,115,267,1,19,393,224,169,,8.99,-1.47,7.8
2013,11-Jan,W,Indianapolis Colts,43,22,23,419,185,234,,16,386,317,69,4,18.81,7.19,-4.92
2013,19-Jan,L,Denver Broncos,16,26,19,320,256,64,,27,507,400,107,,9.06,-23.4,1.34
2014,7-Sep,L,Miami Dolphins,20,33,20,315,226,89,2,25,360,169,191,3,-10.28,-4.77,1.99
2014,14-Sep,W,Minnesota Vikings,30,7,16,292,142,150,,17,217,163,54,4,-2.65,16.66,9.14
2014,21-Sep,W,Oakland Raiders,16,9,21,297,221,76,,14,241,174,67,1,4.61,5.4,-2.63
2014,29-Sep,L,Kansas City Chiefs,14,41,13,290,215,75,3,26,443,236,207,,-10.7,-16.31,6.25
2014,5-Oct,W,Cincinnati Bengals,43,17,30,505,285,220,,17,320,241,79,3,16.33,0.49,6.4
2014,12-Oct,W,Buffalo Bills,37,22,22,396,346,50,,19,336,268,68,3,15.18,2.15,-3.36
2014,16-Oct,W,New York Jets,27,25,16,323,260,63,,28,423,205,218,,10.59,-13.01,6.48
2014,26-Oct,W,Chicago Bears,51,23,32,487,365,122,,27,384,231,153,2,23.22,-5.55,4.03
2014,2-Nov,W,Denver Broncos,43,21,29,398,332,66,1,26,472,429,43,2,9.42,0.59,10.86
2014,16-Nov,W,Indianapolis Colts,42,20,33,503,257,246,2,17,322,303,19,1,31.96,0.02,-9.22
2014,23-Nov,W,Detroit Lions,34,9,29,439,349,90,1,21,335,244,91,1,11.76,6.78,7.17
2014,30-Nov,L,Green Bay Packers,21,26,20,320,236,84,,24,478,348,130,,12.8,-19.28,1.73
2014,7-Dec,W,San Diego Chargers,23,14,24,397,310,87,2,13,216,163,53,1,-1.26,9.73,3.53
2014,14-Dec,W,Miami Dolphins,41,13,23,395,287,108,1,23,384,308,76,2,14.57,8.8,7.17
2014,21-Dec,W,New York Jets,17,16,19,231,146,85,1,16,307,191,116,1,-3.88,-0.27,5.42
2014,28-Dec,L,Buffalo Bills,9,17,14,260,144,116,,16,268,164,104,1,-8.54,-1.83,-0.21
2014,10-Jan,W,Baltimore Ravens,35,31,29,422,408,14,1,28,428,292,136,2,20.04,-15.9,-1.99
2014,18-Jan,W,Indianapolis Colts,45,7,28,397,220,177,1,17,209,126,83,3,22.43,9.46,3
