Season,Date,WL,Opp,ScoreTm,ScoreOpp,Offense1stD,OffenseTotYd,OffensePassY,OffenseRushY,OffenseTO,Defense1stD,DefenseTotYd,DefensePassY,DefenseRushY,DefenseTO,Expected PointsOffense,Expected PointsDefense,Expected PointsSp. Tms
2012,9-Sep,L,Arizona Cardinals,16,20,18,254,139,115,2,18,253,210,43,2,-9.49,4.9,1.82
2012,16-Sep,W,Dallas Cowboys,27,7,20,315,133,182,,17,296,247,49,2,5.89,3.37,9.28
2012,24-Sep,W,Green Bay Packers,14,12,14,238,111,127,,22,268,184,84,,0.56,-2.33,3.33
2012,30-Sep,L,St. Louis Rams,13,19,19,319,140,179,3,15,286,211,75,1,-6.87,3.82,-2.06
2012,7-Oct,W,Carolina Panthers,16,12,17,310,212,98,3,13,190,108,82,2,-6.76,20.26,-5
2012,14-Oct,W,New England Patriots,24,23,17,368,283,85,2,26,475,388,87,2,4.31,-7.79,1.97
2012,18-Oct,L,San Francisco 49ers,6,13,13,251,115,136,1,18,313,138,175,1,-8.42,0.14,-2.18
2012,28-Oct,L,Detroit Lions,24,28,21,369,236,133,2,26,415,331,84,1,14.46,-20.15,0.43
2012,4-Nov,W,Minnesota Vikings,30,20,28,385,190,195,,16,287,44,243,2,19.94,-4.22,-2.73
2012,11-Nov,W,New York Jets,28,7,20,363,189,174,2,11,185,101,84,3,1.35,17.97,4.31
2012,25-Nov,L,Miami Dolphins,21,24,16,312,216,96,,23,435,246,189,1,5.06,-17.25,9.65
2012,2-Dec,W,Chicago Bears,23,17,25,459,283,176,1,22,365,233,132,,14.55,-10.51,-0.3
2012,9-Dec,W,Arizona Cardinals,58,0,22,493,209,284,1,10,154,111,43,8,16.75,37.39,-9.64
2012,16-Dec,W,Buffalo Bills,50,17,22,466,196,270,,21,333,215,118,3,25.18,13,-4.79
2012,23-Dec,W,San Francisco 49ers,42,13,22,346,170,176,1,17,313,231,82,2,19.69,1.44,5.09
2012,30-Dec,W,St. Louis Rams,20,13,17,362,209,153,,20,331,252,79,1,9.81,-4.43,1.76
2012,6-Jan,W,Washington Redskins,24,14,22,380,156,224,1,15,203,99,104,2,6.2,9.36,-2.26
2012,13-Jan,L,Atlanta Falcons,28,30,28,491,368,123,2,24,417,250,167,2,16.85,-17.64,0.63
2013,8-Sep,W,Carolina Panthers,12,7,18,370,300,70,1,17,253,119,134,2,2.56,-3.41,7.04
2013,15-Sep,W,San Francisco 49ers,29,3,19,290,118,172,1,12,207,107,100,5,-2.01,25.9,3.35
2013,22-Sep,W,Jacksonville Jaguars,45,17,28,479,323,156,2,17,265,214,51,3,17.42,14.72,-2.93
